10001d9a,mDiffusion0HorizontalDegree
10064e99,mPunchMoves[0]
100a1384,mTakoyakiTargetFanPatterns
100c012a,mTargetSearchNearestDistanceXYZ
1021205b,mBurst_SplashPaintR
1022d3e0,WaitHoldAir_JetPack
102324f0,Lose_Nrml
10240af8,WaitShoot_Glng_Downpour
1026ddc8,mAttackableHeightIn
102a2682,mRejectStickDownHumanFall
1039cd30,Talk2
103cd553,mBlackBeforeDemoFrame
104450b2,MoveVelRt_Human_ShotD_Mid
10456fe,Hair1_L_0002
10456fe,Hair1_L_0002_Rotate
10539042,mVictoryPlayerTimeLimitFrame
1053a998,Hair01_05_Win_BBll
105d92c,mFirstGroupGroundNrmBoundRate
10609671,mCanopyNakedFrame
10652c11,Hair02_00_Attack_Rllr
10673045,mRandomizeLifeTimeFrame
106a99bb,mMostSpeedSplashCreateSplashLength
1072689f,mSplash_A_PaintNearR
1076d57b,mFirstGroupBulletFirstPaintNearRate
10771a5a,ConsumeRt_Main_High
10771a5a,ConsumeRt_Main_High_High
107a3b75,mShotAngle
10812e33,mDamageCoop
1082e798,mChanceCount
10851b6a,mObjColCapsuleParams[]
108cff41,mEyeHeight
108eac2d,front2_Translate
1094fa,mLifeBarrier
10951538,mSecondGroupBulletSecondAfterPaintNearRate
109c7041,WaitGrindRightTurn_Rllr
109cc5e5,Win_BBll_St
10ac18a6,mPrepare_RotMaxAngle
10ae0f99,mBulletDamageMaxDist_MWPUG_Mid
10af4217,SceneBridgeBgmIntroOctaParams
10c34c1a,TransformToBike
10c3ce94,ConsumeRt_Main_Low
10c3ce94,ConsumeRt_Main_Low_Low
10cf371b,Hair02_00_Drown
10d9c899,mShotIntervalTarget1
10da68c6,front1_L_0105
10da68c6,front1_L_0105_Translate
10e52ce8,isLoop
10f8821c,animInterp_Obj_CSLocker_Octa
11114f8,mHumanMotionBuffer
111a308b,mTutorial
111e423a,mSideJumpForwardVelRate
111ebbaf,mRiseFall_CruiseAltitude_SettingOcta_
11215896,ThrowHold_TakoBomb
11225c1a,WaitGrind_GHoko
11237b70,nape1_Rotate
11284cf9,mSideStepRepeatCnt
112f5991,Hair02_00_GetWeapon
11345a1f,mEnemyWeaponSpWaterCutterParams
1141df83,RotationCalm1
1142567f,mDemoDucking1Params
11438039,mQuickComboAttackFrame
1154e369,mEnemyActiveMax
1155ce68,side3_R_0004
1155ce68,side3_R_0004_Scale
115a19cb,WalkHold_Twins
115aed82,animInterp_Obj_StaffRollFloor_Octa
11634217,StandUp
11652e6c,mSwingDownHPaintOffsetZ
1165e073,mSwingDownVStFrame
11662758,mCameraSwitchBuffer[1]
116f132b,mSwingJumpPlayerBulletCollisionSize0
116fd4b2,mFlySplash_MaxScaleClamp_Ch2
11736087,mUseIsLaserEyeDir
1175f7fb,mBurst_KnockBackCoreImpact_MaxCharge
117d7cd8,mPlayerKnockBackInSpeed
117e4d70,mBackAttackAngle
117f7fe,mBurst_Radius_Middle_MaxCharge
11827907,mPlayerTouchDamage
11841e62,Hair02_00_Jump_Grind_Ed
11861d7c,Hair03_00_Wait_Plaza_TablePhone
1199a53f,side2_L_0003_Scale
119ad61c,WaitHold_Umbrella
