10001d9a,mDiffusion0HorizontalDegree
10064e99,mPunchMoves[0]
100a1384,mTakoyakiTargetFanPatterns
100c012a,mTargetSearchNearestDistanceXYZ
1021205b,mBurst_SplashPaintR
1022d3e0,WaitHoldAir_JetPack
102324f0,Lose_Nrml
1026ddc8,mAttackableHeightIn
102a2682,mRejectStickDownHumanFall
103cd553,mBlackBeforeDemoFrame
10456fe,Hair1_L_0002
10539042,mVictoryPlayerTimeLimitFrame
105d92c,mFirstGroupGroundNrmBoundRate
10609671,mCanopyNakedFrame
10673045,mRandomizeLifeTimeFrame
106a99bb,mMostSpeedSplashCreateSplashLength
1072689f,mSplash_A_PaintNearR
1076d57b,mFirstGroupBulletFirstPaintNearRate
10771a5a,ConsumeRt_Main_High
107a3b75,mShotAngle
10812e33,mDamageCoop
1082e798,mChanceCount
108cff41,mEyeHeight
1094fa,mLifeBarrier
10951538,mSecondGroupBulletSecondAfterPaintNearRate
109c7041,WaitGrindRightTurn_Rllr
109cc5e5,Win_BBll_St
10af4217,SceneBridgeBgmIntroOctaParams
10c34c1a,TransformToBike
10c3ce94,ConsumeRt_Main_Low
10d9c899,mShotIntervalTarget1
10da68c6,front1_L_0105
11114f8,mHumanMotionBuffer
111a308b,mTutorial
111e423a,mSideJumpForwardVelRate
111ebbaf,mRiseFall_CruiseAltitude_SettingOcta_
11225c1a,WaitGrind_GHoko
11284cf9,mSideStepRepeatCnt
11345a1f,mEnemyWeaponSpWaterCutterParams
1142567f,mDemoDucking1Params
11438039,mQuickComboAttackFrame
1154e369,mEnemyActiveMax
1155ce68,side3_R_0004
115a19cb,WalkHold_Twins
11634217,StandUp
11652e6c,mSwingDownHPaintOffsetZ
1165e073,mSwingDownVStFrame
11662758,mCameraSwitchBuffer[1]
116fd4b2,mFlySplash_MaxScaleClamp_Ch2
11736087,mUseIsLaserEyeDir
1175f7fb,mBurst_KnockBackCoreImpact_MaxCharge
117d7cd8,mPlayerKnockBackInSpeed
117e4d70,mBackAttackAngle
117f7fe,mBurst_Radius_Middle_MaxCharge
11827907,mPlayerTouchDamage
119ad61c,WaitHold_Umbrella
119edac7,mSpeedAttackFirstDirectlyAttack
11aac7c9,JumpAttackEdLoop
11b35b56,mFarDist
11b4fd6b,mCrossPaintRadius_B
11c090bd,VacuumEx
11d3910b,mSpeedChaseTrig
11dd6ba1,mNpcTalkWaitFrame
11e0fe68,mMaxChargePaintRadiusRateToFull
11e19726,mShotActionAttackRange_Hero
11e5e729,mBulletColRadius
11ef3159,mChainIntervalFrame
11f0bd5f,mSplashDepthMinChargeScaleRateByWidth
11f6880,ConsumeRt_Sub_Low
11faa0e,mFootPrintAnimBuffer[15]
120c0b64,backB_0104
12180199,front1_0005
1229920f,mTailMinLength
122a9939,mSplashColRadius
122cc5c2,mNoPlaceDistance
122d35a,OpInk_Damage_Lmt
123c8980,mThirdGroupBulletFirstPaintNearR
12504871,mCandidateFindShotCorrect
1250d4ff,mEndScale
125841fd,mCameraBuffer[5]
125e6b3c,front2_0104
125fbd7d,mIsSouthpaw
126c4dcc,mAreaParams[3]
126dabd9,mSpout_SplashVelH
1273f662,mSplashDamageOutsideMiddleValue
